File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
b3d9bda8-2b6e-4ca5-aee4-46e2635d28d0	TCGA-BRCA.25822371-680d-4663-98ef-ebf79e6dff4d.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AO-A0JA	TCGA-AO-A0JA-01A	Primary Tumor
c9cdadd6-7029-404c-96f5-6e045e13ba43	TCGA-BRCA.32d3f1cd-077f-43bf-843e-1fe9f0ec0cba.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A14P	TCGA-E2-A14P-01A	Primary Tumor
0db8bc63-096d-4323-a28c-519e9aede456	TCGA-BRCA.6a4af154-27d5-4a5d-9d88-1f4db2dc70d8.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A202	TCGA-BH-A202-01A	Primary Tumor
704637fb-caef-4f65-acca-b1c99e751cfc	TCGA-BRCA.38971878-2e49-4de3-be7c-e1ce5f1317b6.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A154	TCGA-E2-A154-01A	Primary Tumor
e039033c-6c92-44fa-a147-d8a4640851f6	TCGA-BRCA.c07a21d6-9aad-41c8-b3fc-ff846239c1fc.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A0HX	TCGA-BH-A0HX-01A	Primary Tumor
de8eea70-fbb8-4a6f-8ec1-984c2f81e914	TCGA-BRCA.5cc785cc-8845-4b90-95eb-097896412250.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E9-A1RG	TCGA-E9-A1RG-01A	Primary Tumor
86105e99-3c86-482d-9b01-f450db1821d1	TCGA-BRCA.faaa02ff-b4f1-4f4d-be66-1254bd2c7403.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A0H5	TCGA-BH-A0H5-01A	Primary Tumor
fc28383f-0da5-44f1-a9d3-307c2ebb2b50	TCGA-BRCA.2036be70-c64b-4ef4-82c6-822c5afae946.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A23C	TCGA-AC-A23C-01A	Primary Tumor
144d41c4-b29f-4f8a-a49a-b9a1f13a2f52	TCGA-BRCA.f4e002a0-1f2f-4ffd-bff9-8020c931d51b.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A201	TCGA-BH-A201-01A	Primary Tumor
d45c4e60-dbc5-44f1-841c-d193be8730be	TCGA-BRCA.62f32fa7-690a-4896-980a-831208a3c6ae.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AR-A5QP	TCGA-AR-A5QP-01A	Primary Tumor
b5513f78-7e2d-408f-8106-5bb6643ea36a	TCGA-BRCA.fb2d1af2-81a7-4eb7-8a49-e6448c76e44e.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A2-A0YF	TCGA-A2-A0YF-01A	Primary Tumor
977aceb7-8903-49ab-ae23-285f2292f8bd	TCGA-BRCA.7cb2d031-fc42-48ac-b6f0-88fe60245c2e.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A0H6	TCGA-BH-A0H6-01A	Primary Tumor
091abdcb-a3a7-4f9a-a751-9e6589a6cd41	TCGA-BRCA.ebef101a-cc11-448a-b8a6-b5e0c6f0f998.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-GM-A2DD	TCGA-GM-A2DD-01A	Primary Tumor
2645a66b-7576-4284-8f48-fe8da96ebaf2	TCGA-BRCA.27145418-15bb-49d6-bc77-80194079b46d.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E9-A2JT	TCGA-E9-A2JT-01A	Primary Tumor
f87bef10-5650-44f3-a177-fe2c8147c69e	TCGA-BRCA.5cfd5649-03c6-4919-b469-522684b6ceef.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-D8-A1JU	TCGA-D8-A1JU-01A	Primary Tumor
