File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a305afd9-b051-42d0-b8f8-8f82ae0bbb3a	TCGA-E9-A1N9-11A-05-TSE.cfe9c6a5-0a91-49f6-a361-a74441d9a188.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N9	TCGA-E9-A1N9-11A	Solid Tissue Normal
2e7775ec-f204-4494-8e1a-9dc06462cf59	TCGA-E9-A1N9-01A-01-TSA.dec56c61-13f3-4eda-898b-1f2e40b6f54a.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N9	TCGA-E9-A1N9-01A	Primary Tumor
aa5ba6ad-9af1-4a75-8992-10999e69850c	TCGA-E9-A1N9-11A-07-TSG.891564a7-f2bd-4994-9a09-13db48596a93.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N9	TCGA-E9-A1N9-11A	Solid Tissue Normal
ca33baac-2301-4ee6-9bdc-3f4c16ce72de	TCGA-E9-A1N9-11A-06-TSF.b5735423-f834-4dc4-839e-5ef558af32c2.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N9	TCGA-E9-A1N9-11A	Solid Tissue Normal
10eb373a-c792-421d-a756-bec81150eac2	TCGA-BH-A0HK-11A-01-TSA.212cfdb9-69cc-41ef-8583-1d0da12d73e5.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0HK	TCGA-BH-A0HK-11A	Solid Tissue Normal
26ef7e2d-814e-4728-a459-9b15d6476fac	TCGA-EW-A1J6-01A-01-TS1.cbeda021-a81c-4a79-a505-f8f0b4cb6620.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A1J6	TCGA-EW-A1J6-01A	Primary Tumor
a4047d6b-d89e-4463-874e-d952fe32f7e2	TCGA-AR-A5QQ-01A-01-TSA.5063D04F-D334-4A1F-A2C5-D9B4D3B2D12D.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A5QQ	TCGA-AR-A5QQ-01A	Primary Tumor
f5155752-ec0b-4431-8fb6-2f17631f5416	TCGA-C8-A12N-01A-01-BS1.77929373-2972-4a23-9aef-68e332bf07cb.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-C8-A12N	TCGA-C8-A12N-01A	Primary Tumor
d955f794-b95c-4156-a59c-b76da678b8a0	TCGA-A7-A13D-01B-03-BS3.6FD53AD1-521B-4B91-93C0-BDB40EC597BB.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A13D	TCGA-A7-A13D-01B	Primary Tumor
6dc9faf9-c7ce-42e3-a3cb-3a0f86276a0b	TCGA-BH-A0H5-01A-02-BSB.dfe0061f-b99b-4c98-9b50-05e9df207807.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0H5	TCGA-BH-A0H5-01A	Primary Tumor
d8c6f61d-46cd-4238-b713-8889ab41f751	TCGA-E9-A1NE-11A-04-TSD.b5b0310e-3708-429e-889e-93fa599ad095.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1NE	TCGA-E9-A1NE-11A	Solid Tissue Normal
8709d0f0-7e55-44e6-b1fe-cd7c8ae6bf67	TCGA-A2-A25D-01A-01-TSA.f5616a1d-8a54-43a1-ade2-c3e63f8db896.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A25D	TCGA-A2-A25D-01A	Primary Tumor
10636985-75ce-4688-8a4f-53599d8a8d2e	TCGA-AC-A8OQ-01A-01-TS1.8574E320-4426-48B9-88D7-60AD5EA0A921.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AC-A8OQ	TCGA-AC-A8OQ-01A	Primary Tumor
81d801bd-8b12-4565-8212-f6eac6fd04fe	TCGA-A8-A09R-01A-01-BS1.e7c57b70-0da9-4500-adf7-e58735f6aac7.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A09R	TCGA-A8-A09R-01A	Primary Tumor
1bb0465e-63a3-456d-8505-fa57170708a9	TCGA-A2-A1FZ-01A-05-TSE.92edfd43-6c1e-4b2c-851e-e0968ad67036.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A1FZ	TCGA-A2-A1FZ-01A	Primary Tumor
f3c65b40-bb9c-4a8b-91a3-be592a45897d	TCGA-AR-A5QP-01A-01-TSA.B74EA482-2FD1-43A7-9CF0-CE1462E73E84.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A5QP	TCGA-AR-A5QP-01A	Primary Tumor
87bff729-0dbe-4c0f-bf18-55365f95d9cf	TCGA-E9-A1N8-11A-03-TSC.d9850ced-410d-4dec-b4f0-a3a7dfdf229d.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-11A	Solid Tissue Normal
44a93052-5d37-46c5-82f6-b4516d25bfa2	TCGA-E9-A1N8-01A-01-TSA.a3dc37f0-bcf7-447f-913d-616939f35f80.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-01A	Primary Tumor
3ae196f3-5ec6-45e0-9a49-f4ddf0cd4ab6	TCGA-E9-A1N8-11A-02-TSB.0f6b095b-7126-4be3-b02a-9ebcf9231a6a.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-11A	Solid Tissue Normal
e2ce5758-6c87-4bfd-b89b-d391b67e8dc2	TCGA-E9-A1N8-11A-04-TSD.1d4be0fe-46ad-45a4-a03a-d5c1712d90ca.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-11A	Solid Tissue Normal
eb9d0739-5625-4760-a7ff-1562cd63aa5f	TCGA-E9-A1N8-11A-01-TSA.01c3b247-8b3b-4466-9641-4146fbba4f51.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-11A	Solid Tissue Normal
578b0eb1-c4ce-4180-9970-cc83666dc74f	TCGA-AN-A0XV-01A-01-TS1.938ba135-fac5-440d-9f59-79ea929a3a99.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AN-A0XV	TCGA-AN-A0XV-01A	Primary Tumor
cb83e019-f1cb-4fa9-a415-015db323ba43	TCGA-EW-A1OV-01A-01-TSA.9ccd6a13-34e4-4d98-9a18-3e7136ec0a13.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A1OV	TCGA-EW-A1OV-01A	Primary Tumor
ee92f7a5-8cf2-4ec2-83e8-55b5ce7b69ef	TCGA-A2-A1FX-01A-01-TSA.9ddece99-9be4-4d06-b8a5-f10e064a20cd.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A1FX	TCGA-A2-A1FX-01A	Primary Tumor
c398676d-f5d4-4865-9ad5-be991f82fa99	TCGA-A8-A07B-01A-01-BS1.b1f937c2-0868-4c6a-a85f-cc4853c0a639.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A07B	TCGA-A8-A07B-01A	Primary Tumor
68dd7e5e-b40a-4af1-9e77-27f779c0537d	TCGA-A2-A04T-01A-02-TSB.93063466-272a-42e9-b4cb-ccf262b7e4c4.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A04T	TCGA-A2-A04T-01A	Primary Tumor
87ba57b4-2bb6-4abe-85e2-73c0cc9c2783	TCGA-EW-A2FR-01A-01-TSA.516FAE11-477F-423F-82CB-9041FA0D8111.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A2FR	TCGA-EW-A2FR-01A	Primary Tumor
97dbf5d6-d9f1-438f-aba6-ecea4612977b	TCGA-PE-A5DD-01A-01-TSA.B71D5B6B-7526-4C1F-B656-2F5A8B8F3086.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-PE-A5DD	TCGA-PE-A5DD-01A	Primary Tumor
