File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
58defcd3-f1af-40be-b57a-283c4d6db7e4	9e8dc4b8-e6f7-4a8f-a8aa-61ad5b9bfc06_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-E1-A7YQ	TCGA-E1-A7YQ-01A	Primary Tumor
6c402b0f-52f3-427c-bb3c-6e697062b3bc	9e8dc4b8-e6f7-4a8f-a8aa-61ad5b9bfc06.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-E1-A7YQ	TCGA-E1-A7YQ-01A	Primary Tumor
a1851b3a-8e33-417b-8d8a-9ed16cf62fca	25eb1cc5-cda7-4692-81ea-4e876042531d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-S9-A7QW	TCGA-S9-A7QW-01A	Primary Tumor
f0e8ab09-3638-4a1a-9c9b-4eeaf8dd0f75	25eb1cc5-cda7-4692-81ea-4e876042531d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-S9-A7QW	TCGA-S9-A7QW-01A	Primary Tumor
db8006b0-3eeb-4408-bc61-357015169816	25eb1cc5-cda7-4692-81ea-4e876042531d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-S9-A7QW	TCGA-S9-A7QW-01A	Primary Tumor
70aade5f-187e-4500-87df-f9996424de7d	241648ce-443d-440e-8dee-f1d497306c99.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-HT-7874	TCGA-HT-7874-01A	Primary Tumor
0e528a4b-b052-4eeb-81df-67bbb7081300	20c27e08-0308-4ac0-a7e6-65b0ab0cbdee.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-FG-A4MU	TCGA-FG-A4MU-01B	Primary Tumor
97c33ef5-1e37-421e-b116-806d8f6d9984	718a991e-cd78-44e9-beb3-aef1de664506_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-TQ-A7RH	TCGA-TQ-A7RH-01A	Primary Tumor
20322683-b95c-4e44-aff4-3b25114c9635	5dfa6a92-df63-4909-9f75-b930dd6fd70f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-DU-8162	TCGA-DU-8162-01A	Primary Tumor
afef95af-e767-4f4a-8a8b-d377296b1fac	8ec73e16-1a4c-4f22-8d38-3fb72009cb4e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-QH-A6CU	TCGA-QH-A6CU-01A	Primary Tumor
2af8c172-097c-49f5-be45-77848bc6d144	fa787d21-0c93-4823-aa4c-45a94a020b0b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-DU-6407	TCGA-DU-6407-02A	Recurrent Tumor
baa5cded-bcce-4355-8179-faa164273669	fa787d21-0c93-4823-aa4c-45a94a020b0b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-DU-6407	TCGA-DU-6407-02A	Recurrent Tumor
6e1d0914-1c47-4c2d-8754-efd8f61380c7	861bf29a-37a7-426b-a0e3-e215adbd0693_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-DH-A669	TCGA-DH-A669-02A	Recurrent Tumor
a754cf15-3da9-4eb8-acf5-5e3aafdf64ee	c087c018-5bd2-4e2c-94c9-738298bec59a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-DB-A4XG	TCGA-DB-A4XG-01A	Primary Tumor
6bb66611-9da4-469b-946a-c1389f0518e1	c087c018-5bd2-4e2c-94c9-738298bec59a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-DB-A4XG	TCGA-DB-A4XG-01A	Primary Tumor
57ed1a63-dc70-416f-8079-14fe285b27a6	9253c5e2-657c-472d-a5fb-3ad41e5bb217_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-HT-A61C	TCGA-HT-A61C-01A	Primary Tumor
dc4a02bc-9638-490c-afe2-d019b7a20feb	49450ecf-8214-425b-a0b6-bd9de0c8808a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-FG-A60L	TCGA-FG-A60L-01A	Primary Tumor
62f6c7d2-a18c-4d0a-b446-caac869eecb0	365c9a2f-fea2-4dce-8800-7f9593e33b38_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-S9-A7QZ	TCGA-S9-A7QZ-01A	Primary Tumor
2a6deb8f-776e-425b-93e9-675a0b15b8bf	365c9a2f-fea2-4dce-8800-7f9593e33b38_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-S9-A7QZ	TCGA-S9-A7QZ-01A	Primary Tumor
fc61056a-fa4b-462f-ad19-4a8aba6944b9	d491f3c9-2a24-4e05-8dfd-abdc784ae6a6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-RY-A83X	TCGA-RY-A83X-01A	Primary Tumor
30ae12bf-ac90-46c3-b0e6-42c11a57cb90	367f91cc-dc44-46e0-b3b1-ef972721415e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LGG	TCGA-DU-A7TG	TCGA-DU-A7TG-01A	Primary Tumor
