File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
03cd48d5-e8c6-4b7b-8782-5694d54bf007	TCGA-LGG.57417012-cde0-4ebc-9ac8-e6268208cda0.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-E1-A7YQ	TCGA-E1-A7YQ-01A	Primary Tumor
4c8d70bb-e921-4e8f-8fc2-7c5e6b70484f	TCGA-LGG.0b3271ef-9f8b-4231-81d0-ddb9ec432367.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-FG-A4MU	TCGA-FG-A4MU-01B	Primary Tumor
36ca5093-c242-4e49-aca7-925a0916de3d	TCGA-LGG.680d2dbf-4fc2-444c-a72a-9b12ae15d036.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-S9-A7R8	TCGA-S9-A7R8-01A	Primary Tumor
991ebf51-576b-483f-8d11-4f289dc0719c	TCGA-LGG.849e0626-b7cc-4ae9-bbba-711ff5451cf8.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-E1-A7YY	TCGA-E1-A7YY-01A	Primary Tumor
5127c93f-ae06-41f7-af83-ddaed4c71245	TCGA-LGG.10521ef9-eddc-4dc3-9738-19f2b0f9371a.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-S9-A7QZ	TCGA-S9-A7QZ-01A	Primary Tumor
443a2048-93ba-4b28-8e95-e2881c5fe54d	TCGA-LGG.c9d56ea5-03e5-4b9f-a76b-e50c193e29a2.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-FG-A60L	TCGA-FG-A60L-01A	Primary Tumor
cdf3039d-778d-4f16-b8e9-47214253b428	TCGA-LGG.25667841-01f3-4502-8b60-ee06c7894b5a.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-HT-7680	TCGA-HT-7680-01A	Primary Tumor
93177155-a521-4d85-9bc8-f357f206815c	TCGA-LGG.0be271b0-0c94-4bdf-a164-b799d14a7421.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-HT-7688	TCGA-HT-7688-01A	Primary Tumor
f0ac1ad1-bdc4-47fb-a6b8-f28d6a7e3871	TCGA-LGG.cdb0823c-6193-4fa4-8c99-b3b065f419f0.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DH-A7US	TCGA-DH-A7US-01A	Primary Tumor
b3ec5047-6f99-447b-baa8-bac1b6dcb60f	TCGA-LGG.e814b3e0-54ea-4a1d-8642-4cfb8d54b84d.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-TM-A84O	TCGA-TM-A84O-01A	Primary Tumor
18b5ab53-eb28-4e8d-9f25-602a92c87d3a	TCGA-LGG.3e2571fe-631a-482f-a2fb-d312370b28ad.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DB-A64Q	TCGA-DB-A64Q-01A	Primary Tumor
b5203602-89f5-454b-885c-ee37faf17e67	TCGA-LGG.8936ceb9-c205-45cd-8043-ffa14f19d027.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-E1-5302	TCGA-E1-5302-01A	Primary Tumor
0c9fa7d0-59dd-4b2b-a53a-a6db13888801	TCGA-LGG.9f0e657d-43ec-451f-9583-fa062ae22f94.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DB-A64S	TCGA-DB-A64S-01A	Primary Tumor
724ac6cd-c020-4bb1-ace5-9c8cf96ddc9c	TCGA-LGG.5ef6b48c-a936-4a3b-9d25-5e3f768da7c5.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-CS-6666	TCGA-CS-6666-01A	Primary Tumor
f5651d16-1023-497d-a04e-4ab55a1aaa3f	TCGA-LGG.0d25897d-7de6-4efa-a963-f44821e98623.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-QH-A6X4	TCGA-QH-A6X4-01A	Primary Tumor
59b44f7f-9d6f-4551-9dfd-5f724c1de744	TCGA-LGG.cfe42c3b-815d-4ec5-8768-6d2fed8ad1b3.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-S9-A6U6	TCGA-S9-A6U6-01A	Primary Tumor
c6d6c616-220e-4004-9f8d-dcc8ec7df121	TCGA-LGG.f36d0126-d3ae-4a67-9f61-9d9965244748.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-HT-8113	TCGA-HT-8113-01A	Primary Tumor
b9158e9a-f355-4275-abc7-1320b57dab3e	TCGA-LGG.fd96df0a-f415-4118-bf33-7cd50d8ed722.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-S9-A7QY	TCGA-S9-A7QY-01A	Primary Tumor
583c383f-3fa1-419f-b846-956fd02b2517	TCGA-LGG.848acf11-f86c-42a7-acb6-79e65b31be72.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DB-A64U	TCGA-DB-A64U-01A	Primary Tumor
e101c6a3-5fa6-42f6-84d6-2f71e3bd4092	TCGA-LGG.94ce85b7-3e0f-4cdb-8807-1372656b84cc.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-FG-A87N	TCGA-FG-A87N-01A	Primary Tumor
7789d5ea-797d-452e-a0a7-30550cc99dac	TCGA-LGG.397c469c-c508-420e-9251-90196a15a61c.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DU-5852	TCGA-DU-5852-01A	Primary Tumor
46a842b9-3856-4118-88c1-c34b2f991d40	TCGA-LGG.26303b7f-1d08-4297-bf14-375d62e1a328.absolute_liftover.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LGG	TCGA-DU-A6S8	TCGA-DU-A6S8-01A	Primary Tumor
