gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	331	969	34.16	1685	16508	10.21	1094	273	24.95	41	3.75	76	Cancer Gene Census
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	331	969	34.16	4964	16508	30.07	1094	50	4.57	562	51.37	209	Cancer Gene Census
ENSG00000039068	CDH1	cadherin 1	16q22.1	protein_coding	131	969	13.52	406	16508	2.46	1094	99	9.05	606	55.39	114	Cancer Gene Census
ENSG00000107485	GATA3	GATA binding protein 3	10p14	protein_coding	127	969	13.11	386	16508	2.34	1094	279	25.50	102	9.32	89	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	127	969	13.11	2903	16508	17.59	1094	160	14.63	138	12.61	168	Cancer Gene Census
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	88	969	9.08	1063	16508	6.44	1094	239	21.85	154	14.08	97	Cancer Gene Census
ENSG00000095015	MAP3K1	mitogen-activated protein kinase kinase kinase 1	5q11.2	protein_coding	85	969	8.77	385	16508	2.33	1094	163	14.90	218	19.93	115	Cancer Gene Census
ENSG00000171862	PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	52	969	5.37	1268	16508	7.68	1094	38	3.47	166	15.17	50	Cancer Gene Census
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	51	969	5.26	538	16508	3.26	1094	61	5.58	527	48.17	53	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	45	969	4.64	1438	16508	8.71	1094	133	12.16	377	34.46	52	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	44	969	4.54	1991	16508	12.06	1094	629	57.50	27	2.47	47	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	42	969	4.33	887	16508	5.37	1094	193	17.64	265	24.22	44	Cancer Gene Census
ENSG00000159216	RUNX1	RUNX family transcription factor 1	21q22.12	protein_coding	41	969	4.23	271	16508	1.64	1094	208	19.01	148	13.53	38	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	40	969	4.13	1784	16508	10.81	1094	98	8.96	174	15.90	45	Cancer Gene Census
ENSG00000065526	SPEN	spen family transcriptional repressor	1p36.21, 1p36.13	protein_coding	39	969	4.02	629	16508	3.81	1094	60	5.48	376	34.37	51	Cancer Gene Census
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4	17p12	protein_coding	39	969	4.02	214	16508	1.30	1094	46	4.20	554	50.64	35	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	39	969	4.02	1154	16508	6.99	1094	70	6.40	368	33.64	39	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	36	969	3.72	1336	16508	8.09	1094	167	15.27	108	9.87	39	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	35	969	3.61	1069	16508	6.48	1094	102	9.32	280	25.59	35	Cancer Gene Census
ENSG00000135111	TBX3	T-box transcription factor 3	12q24.21	protein_coding	35	969	3.61	282	16508	1.71	1094	150	13.71	167	15.27	35	Cancer Gene Census
ENSG00000100345	MYH9	myosin heavy chain 9	22q12.3	protein_coding	33	969	3.41	484	16508	2.93	1094	100	9.14	422	38.57	33	Cancer Gene Census
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	2p22.3	protein_coding	33	969	3.41	760	16508	4.60	1094	168	15.36	117	10.69	37	Cancer Gene Census
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	12p13.31	protein_coding	32	969	3.30	556	16508	3.37	1094	228	20.84	125	11.43	35	Cancer Gene Census
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	5q13.1	protein_coding	32	969	3.30	577	16508	3.50	1094	147	13.44	226	20.66	33	Cancer Gene Census
ENSG00000118058	KMT2A	lysine methyltransferase 2A	11q23.3	protein_coding	31	969	3.20	686	16508	4.16	1094	90	8.23	478	43.69	33	Cancer Gene Census
ENSG00000184634	MED12	mediator complex subunit 12	Xq13.1	protein_coding	31	969	3.20	561	16508	3.40	1094	0	0.00	0	0.00	32	Cancer Gene Census
